Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English_Steam,Korean_Steam,Simplified Chinese_Steam
Record.Final-57,六花,「そうっ♥、私達はっ♥、絶対に諦めないのっ♥」,「そうっ♥、私達はっ♥、絶対に諦めないのっ♥」,「沒錯♥，我們♥，絕不放棄的♥」,"""That's right♥ We'll♥ Never give up♥""","「그래♥, 우리는♥, 절대로 포기하지 않아♥」",「没错♥，我们♥，绝不放弃的♥」
,Record akiho＆rikka5,,,,,,
Record.Final-58,,ビュルルルッルッ！！ドクッ！！,ビュルルルッルッ！！ドクッ！！,咻嚕嚕嚕嚕！！咚！！,Spurrrrrt!! Throb!!,뷰르르르릇르릇!! 도큣!!,咻噜噜噜噜！！咚！！
,,,,,,,
Record.Final-59,明穂,「お゛おっ♥、おまんこにっ♥、出されてるっ♥！！」,「お゛おっ♥、おまんこにっ♥、出されてるっ♥！！」,「喔喔♥，被射到小穴裡了♥！！」,"""Ohh♥ In my pussy♥ He's coming inside me♥""","「오옷 오옷♥, 보지에♥, 싸고 있어♥!!」",「喔喔♥，被射到小穴里了♥！！」
,,,,,,,
Record.Final-60,六花,「お゛ほっ♥、んっ♥、中出しでっ♥、子宮があっ♥♥！」,「お゛ほっ♥、んっ♥、中出しでっ♥、子宮があっ♥♥！」,「喔呵♥，嗯♥，被中出♥，子宮啊♥♥！」,"""Ohho♥ Ngh♥ The creampie♥ My womb♥""","「오옷 홋♥, 응읏♥, 안에 싸서♥, 자궁이앗♥♥!」",「喔呵♥，嗯♥，被中出♥，子宫啊♥♥！」
,,,,,,,
Record.Final-61,戦闘員,「おらっ、さっさと負けを認めろオナホ共っ！聖核戦姫はすべからくオナホなんだよっ！」,「おらっ、さっさと負けを認めろオナホ共っ！聖核戦姫はすべからくオナホなんだよっ！」,「喂，快點認輸啊妳們自慰套！所有聖核戰姬都是自慰套啊！」,"""Come on, hurry up and admit defeat, sex toys! All Holy Core Battlemaidens are nothing but sex toys!""","「자!, 빨리 패배를 인정해라 오나홀들아! 성핵전희는 모조리 오나홀이야!」",「喂，快点认输啊你们自慰套！所有圣核战姬都是自慰套啊！」
,,,,,,,
Record.Final-62,明穂,「お゛っ♥、まけっ、負けましたっ！、チンポに負けましたっ♥♥♥」,「お゛っ♥、まけっ、負けましたっ！、チンポに負けましたっ♥♥♥」,「喔♥，輸、輸了！輸給陰莖了♥♥♥」,"""Oh♥ we lost, we lost! Your cock won♥♥♥""","「오옷 옷♥, 졌, 졌습니다!, 자지에 졌습니다♥♥♥」",「喔♥，输、输了！输给鸡巴了♥♥♥」
,,,,,,,
Record.Final-63,六花,「お゛っ♥、私も負けっ♥♥、こんなの勝てるわけないぃっ♥！」,「お゛っ♥、私も負けっ♥♥、こんなの勝てるわけないぃっ♥！」,「喔♥，我也輸了♥♥，這根本贏不了啊♥！」,"""Oh♥ I lost too♥♥ There's no way we could win against this♥!""","「오옷 옷♥, 저도 패배♥♥, 이런 거 이길 리 없어잇♥!」",「喔♥，我也输了♥♥，这根本赢不了啊♥！」
,,,,,,,
Record.Final-64,,ドクッ、ドクッ！,ドクッ、ドクッ！,咚、咚！,"Throb, throb!","도큣, 도큣!",咚、咚！
,,,,,,,
Record.Final-65,明穂,「私は聖核戦姫じゃなくてただのメスオナホでしたっ♥♥、もっと射精してくださいっ♥」,「私は聖核戦姫じゃなくてただのメスオナホでしたっ♥♥、もっと射精してくださいっ♥」,「我不是聖核戰姬只是個母自慰套♥♥，請再多射一點♥」,"""I'm not a Holy Core Battlemaiden, just a female sex toy♥♥ Please come more♥""","「저는 성핵전희가 아니라 그냥 암컷 오나홀이었어요♥♥, 더 사정해주세요♥」",「我不是圣核战姬只是个母自慰套♥♥，请再多射一点♥」
,,,,,,,
Record.Final-66,六花,「お゛っ♥、私もっ♥、完全敗北ですっ♥、好きにお使いくださいっ♥♥！」,「お゛っ♥、私もっ♥、完全敗北ですっ♥、好きにお使いくださいっ♥♥！」,「喔♥，我也是♥，徹底輸了♥，請隨意使用♥♥！」,"""Oh♥ Me too♥ Complete defeat♥ Please use me however you like♥♥!""","「오옷 옷♥, 저도♥, 완전 패배입니다♥, 마음껏 사용해주세요♥♥!」",「喔♥，我也是♥，彻底失败了♥，请随意使用♥♥！」
,Record akiho＆rikka６,,,,,,
Record.Final-67,戦闘員,「ははっ、簡単に堕ちやがったな、これでいっちょ上がりだ」,「ははっ、簡単に堕ちやがったな、これでいっちょ上がりだ」,「哈哈，這麼簡單就墮落了，這就搞定了。」,"""Haha, you fell so easily, that's a wrap.""","「하핫, 간단히 타락했군, 이걸로 한 건 끝이다」",「哈哈，这么简单就堕落了，这就搞定了。」
,,,,,,,
Record.Final-68,明穂,「んっ♥、そうですっ♥、負けですっ♥♥♥」,「んっ♥、そうですっ♥、負けですっ♥♥♥」,「嗯♥，對啊♥，輸了♥♥♥」,"""Ngh♥ That's right♥ We lost♥♥♥""","「응읏♥, 그렇습니다♥, 패배입니다♥♥♥」",「嗯♥，对啊♥，输了♥♥♥」
,,,,,,,
Record.Final-69,六花,「私達っ♥♥、一生オナホとしてご奉仕しますっ♥♥」,「私達っ♥♥、一生オナホとしてご奉仕しますっ♥♥」,「我們♥♥，會一輩子作為自慰套服侍的♥♥」,"""We'll♥♥ Serve as sex toys for life♥♥""","「저희♥♥, 평생 오나홀로서 봉사하겠습니다♥♥」",「我们♥♥，会一辈子作为自慰套服侍的♥♥」
,,,,,,,
Record.Final-70,戦闘員,「まあいい、茶番は終わりだ。周りにも聖核戦姫が終わったってことは伝わっただろ」,「まあいい、茶番は終わりだ。周りにも聖核戦姫が終わったってことは伝わっただろ」,「算了，鬧劇結束。周圍的人也知道聖核戰姬完蛋了吧。」,"""Well, whatever, the charade is over. Everyone around should know the Holy Core Battlemaidens are finished.""","「뭐 됐어, 촌극은 끝이다. 주변에도 성핵전희가 끝났다는 건 전해졌겠지」",「算了，闹剧结束。周围的人也知道圣核战姬完蛋了吧。」
,,,,,,,
Record.Final-71,戦闘員,「撤収するぞ、アジトに帰ったらまたチンポハメてやる」,「撤収するぞ、アジトに帰ったらまたチンポハメてやる」,「撤退，回到基地再用陰莖插妳們。」,"""We're withdrawing. When we get back to the hideout, I'll fuck you again.""","「철수한다, 아지트에 돌아가면 또 자지 박아주지」",「撤退，回到基地再插你们鸡巴。」
,,,,,,,
Record.Final-72,明穂＆六花,「「あっ♥、ありがとうございますうっ♥♥♥」」,「「あっ♥、ありがとうございますうっ♥♥♥」」,「啊♥，謝謝您們♥♥♥」,"""Ah♥ Thank you so much♥♥♥""","「「앗♥, 감사합니다아♥♥♥」」",「啊♥，谢谢您们♥♥♥」
,,,,,,,
Record.Final-73,,その二人の表情には既戦士としての面影はなく、チンポへの媚びと期待しかない,その二人の表情には既戦士としての面影はなく、チンポへの媚びと期待しかない,兩人臉上已沒有戰士的身影，只有對陰莖的諂媚和期待。,"Their expressions no longer showed any trace of being warriors, only fawning and anticipation for cocks.","그 두 사람의 표정에는 이미 전사로서의 모습은 없고, 자지에 대한 아양과 기대뿐이다",两人脸上已没有战士的身影，只有对鸡巴的谄媚和期待。
,,,,,,,
Record.Final-74,明穂,「嬉しいですっ♥、もっとチンポ欲しいっ♥♥」,「嬉しいですっ♥、もっとチンポ欲しいっ♥♥」,「好開心♥，還想要更多陰莖♥♥」,"""I'm so happy♥ I want more cock♥♥""","「기뻐요♥, 더 자지 원해요♥♥」",「好开心♥，还想要更多鸡巴♥♥」
,,,,,,,
Record.Final-75,六花,「負けて良かったっ♥、聖核戦姫やめて良かったっ♥♥」,「負けて良かったっ♥、聖核戦姫やめて良かったっ♥♥」,「輸了真好♥，不當聖核戰姬真好♥♥」,"""I'm glad we lost♥ I'm glad I quit being a Holy Core Battlemaiden♥♥""","「져서 다행이야♥, 성핵전희 그만두길 잘했어♥♥」",「输了真好♥，不当圣核战姬真好♥♥」
,,,,,,,
Record.Final-76,明穂＆六花,「「私達っ♥♥、皆様のオナホとして頑張りますっ♥♥」」,「「私達っ♥♥、皆様のオナホとして頑張りますっ♥♥」」,「我們♥♥，會努力作為大家的自慰套的♥♥」,"""We'll♥♥ Do our best as everyone's sex toys♥♥""","「「저희♥♥, 여러분의 오나홀로서 힘내겠습니다♥♥」」",「我们♥♥，会努力作为大家的自慰套的♥♥」
,,,,,,,
Record Kei,注釈,エンドコンテンツ　京　,エンドコンテンツ　京　,,,엔드 콘텐츠　케이,
Record.Kei,,【小悪魔の日常】,【小悪魔の日常】,【小惡魔的日常】,[The Little Devil's Life],【소악마의 일상】,【小恶魔的日常】
,アジト,,,,,,
Record.Kei-1,,財団アジトにて,財団アジトにて,財團基地裡,At the Foundation hideout,재단 아지트에서,财团基地里
,,,,,,,
Record.Kei-2,京(闇落ち),「那由多を堕とした怪人……？」,「那由多を堕とした怪人……？」,「成功將那由多墮落的怪人……？」,"""The fiend who corrupted Nayuta...?""",「나유타를 타락시킨 괴인……?」,「成功将那由多堕落的怪人……？」
,,,,,,,
Record.Kei-3,,「へえ、あの生徒会長をたった一人で堕とした怪人か…興味深いね」,「へえ、あの総司令をたった一人で堕とした怪人か…興味深いね」,「嘿，竟然是單憑一個人就讓那位總司令墮落的怪人嗎…有意思呢。」,"""Wow, the fiend who corrupted that Commander all by itself... How interesting.""","「헤에, 그 총사령관을 단신으로 타락시킨 괴인인가… 흥미롭네」",「嘿，竟然是单凭一个人就让那位总司令堕落的怪人吗…有意思呢。」
,,,,,,,
Record.Kei-4,,京は妖艶な笑みを浮かべちょろっと舌を出す,京は妖艶な笑みを浮かべちょろっと舌を出す,京露出妖豔的笑容，輕輕吐出舌頭。,Kei showed a bewitching smile and stuck out her tongue slightly.,케이는 요염한 미소를 띠며 살짝 혀를 내민다,京露出妖艳的笑容，轻轻吐出舌头。
,,,,,,,
Record.Kei-5,京(闇落ち),「ふふっ♥最近戦闘員達のチンポで遊ぶのも飽きて来たんだよね」,「ふふっ♥最近戦闘員達のチンポで遊ぶのも飽きて来たんだよね」,「呵呵♥，最近玩戰鬥員們的雞巴也玩膩了呢。」,"""Fufu♥ I've been getting bored playing with the soldiers lately.""",「후훗♥ 요즘 전투원들 자지로 노는 것도 질렸거든」,「呵呵♥最近玩战斗员们的鸡巴也玩腻了呢。」
,,,,,,,
Record.Kei-6,,「どれほどのものか分からないが…私をどれだけ満足させられるかな…？」,「どれほどのものか分からないが…私をどれだけ満足させられるかな…？」,「不知道有多厲害…能讓我滿足到什麼程度呢…？」,"""I don't know how good you are... but I wonder how much you can satisfy me...?""",「어느 정도일지 모르겠지만… 나를 얼마나 만족시킬 수 있을까…?」,「不知道有多厉害…能让我满足到什么程度呢…？」
,暗転,,,,,,
,Record Kei 1,,,,,,
Record.Kei-7,,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,咚啾！咚啾！咚啾！咚啾！,Squelch! Squelch! Squelch! Squelch!,도츗! 도츗! 도츗! 도츗!,咚啾！咚啾！咚啾！咚啾！
,,,,,,,
Record.Kei-8,怪人,「どうした？随分と余裕が無さそうだが？」,「どうした？随分と余裕が無さそうだが？」,「怎麼了？妳看來很沒餘裕啊？」,"""What's wrong? You don't seem so confident anymore?""",「왜 그러나? 상당히 여유가 없어 보이는데?」,「怎么了？你看来很没余裕啊？」
,,,,,,,
Record.Kei-9,京,「お゛っ♥、お゛っ♥、お゛っ♥、お゛おっ♥！？」,「お゛っ♥、お゛っ♥、お゛っ♥、お゛おっ♥！？」,「喔♥、喔♥、喔♥、喔喔♥！？」,"""Oh♥ Oh♥ Oh♥ Ohh♥?!""","「오옷 옷♥, 오옷 옷♥, 오옷 옷♥, 오옷 오옷♥!?」",「喔♥、喔♥、喔♥、喔喔♥！？」
,,,,,,,
Record.Kei-10,,京は小柄な体を巨大な怪人に捕まれ、無理やり膣でチンポを扱かれていた,京は小柄な体を巨大な怪人に捕まれ、無理やり膣でチンポを扱かれていた,京嬌小的身體被巨大的怪人抓住，陰道被強行用雞巴塞入。,Kei's small body was grabbed by the giant fiend and forcibly used.,"케이는 작은 몸을 거대한 괴인에게 붙잡혀, 억지로 질로 자지를 흔들리고 있었다",京娇小的身体被巨大的怪人抓住，阴道被强行用鸡巴塞入。
,,,,,,,
Record.Kei-11,京,「お゛っ♥、お゛おっ♥、こんなのっ♥♥テクニック以前の問題っ♥♥♥」,「お゛っ♥、お゛おっ♥、こんなのっ♥♥テクニック以前の問題っ♥♥♥」,「喔♥、喔喔♥，這種根本是技術以外的問題♥♥♥」,"""Oh♥ Ohh♥ This is♥♥ Beyond technique♥♥♥""","「오옷 옷♥, 오옷 오옷♥, 이런 건♥♥ 테크닉 이전의 문제♥♥♥」",「喔♥、喔喔♥、这种根本是技术以外的问题♥♥♥」
,Record Kei 2,,,,,,
Record.Kei-12,,「チンポデカすぎてっ♥♥♥、逝くッ♥♥♥、ハメ死んじゃうううぅぅッ♥♥♥」,「チンポデカすぎてっ♥♥♥、逝くッ♥♥♥、ハメ死んじゃうううぅぅッ♥♥♥」,「雞巴太大了♥♥♥，要高潮了♥♥♥，會被插死的啊啊啊啊♥♥♥」,"""It's too big♥♥♥ I'm coming♥♥♥ I'm going to die♥♥♥""","「자지 너무 커서♥♥♥, 가버렷♥♥♥, 박혀 죽어버려어어어엇♥♥♥」",「鸡巴太大了♥♥♥，要高潮了♥♥♥，会被插死的啊啊啊啊♥♥♥」
,,,,,,,
Record.Kei-13,,「きゅうけいっ♥、抜いてッ♥♥、抜いてくださいっ♥♥！！」,「きゅうけいっ♥、抜いてッ♥♥、抜いてくださいっ♥♥！！」,「休息♥，快拔出來♥♥，請拔出來♥♥！！」,"""Time for a break♥ Pull out♥♥ Please pull out♥♥!!""","「휴식♥, 빼줘♥♥, 빼주세요♥♥!!」",「休息♥、拔出来♥♥、请拔出来♥♥！！」
,,,,,,,
Record.Kei-14,怪人,「そうはいかんな。一回始めた以上最期まで付き合ってもらおう」,「そうはいかんな。一回始めた以上最期まで付き合ってもらおう」,「可不行呢。既然開始了，就陪我到底吧。」,"""I can't do that. Since we've started, you'll accompany me to the end.""",「그럴 수는 없지. 한 번 시작한 이상 마지막까지 함께 해줘야겠어」,「可不行呢。既然开始了，就陪我到底吧。」
,Record Kei 3,,,,,,
Record.Kei-15,,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,咚啾！咚啾！咚啾！咚啾！,Squelch! Squelch! Squelch! Squelch!,도츗! 도츗! 도츗! 도츗!,咚啾！咚啾！咚啾！咚啾！
,,,,,,,
Record.Kei-16,京,「お゛っ♥、お゛っ♥、ま、まってくれっ♥♥！！」,「お゛っ♥、お゛っ♥、ま、まってくれっ♥♥！！」,「喔♥、喔♥，等、等等啊♥♥！！」,"""Oh♥ Oh♥ W-wait♥♥!!""","「오옷 옷♥!?, 오옷 홋~~♥♥!?!!」",「喔♥、喔♥、等、等等啊♥♥！！」
,,,,,,,
Record.Kei-17,,「これ以上されたらっ♥♥、本当に死んでしまうっ♥♥」,「これ以上されたらっ♥♥、本当に死んでしまうっ♥♥」,「再這樣下去的話♥♥，真的會死掉的♥♥」,"""If you keep going♥♥ I'm really going to die♥♥""","「이 이상 당하면♥♥, 정말 죽어버려♥♥」",「再这样下去的话♥♥，真的会死掉的♥♥」
,,,,,,,
Record.Kei-18,,「調子に乗ったのは悪かったからっ♥♥、ここは一旦っ…！」,「調子に乗ったのは悪かったからっ♥♥、ここは一旦っ…！」,「得意忘形是我不好♥♥，這裡先……！」,"""I was wrong to get cocky♥♥ So let's take a break...!""","「잘난 척한 건 미안했으니까♥♥, 여기서는 일단…!」",「得意忘形是我不好♥♥，这里先……！」
,Record kei 2,,,,,,
Record.Kei-19,,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,咚啾！咚啾！咚啾！咚啾！,Squelch! Squelch! Squelch! Squelch!,도츗! 도츗! 도츗! 도츗!,咚啾！咚啾！咚啾！咚啾！
,,,,,,,
Record.Kei-20,京,「お゛っ♥！？、お゛ほおっ～～～～ッッ♥♥♥！？」,「お゛っ♥！？、お゛ほおっ～～～～ッッ♥♥♥！？」,「喔♥！？喔齁～～～～♥♥♥！？」,"""Oh♥?! Ohooo♥♥♥?!""","「오옷 옷♥!?, 오옷 홋~~~~♥♥♥!?」",「喔♥！？、喔齁～～～～♥♥♥！？」
,,,,,,,
Record.Kei-21,,「へあっ♥♥、お゛っ♥、にゃんでっ♥♥♥」,「へあっ♥♥、お゛っ♥、にゃんでっ♥♥♥」,「嘿啊♥♥、喔♥、為什麼♥♥♥」,"""Heah♥♥ Oh♥ Whyyy♥♥♥""","「헤앗♥♥, 오옷 옷♥, 냣데♥♥♥」",「吓♥♥、喔♥、为什么♥♥♥」
,,,,,,,
Record.Kei-22,怪人,「オナホはオナホらしく犯されていろっ！」,「オナホはオナホらしく犯されていろっ！」,「自慰套就該像自慰套一樣被幹啊！」,"""A toy should act like a toy and be used!""",「오나홀은 오나홀답게 박히고 있어라!」,「自慰套就该像自慰套一样被干啊！」
,,,,,,,
Record.Kei-23,,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,咚啾！咚啾！咚啾！咚啾！,Squelch! Squelch! Squelch! Squelch!,도츗! 도츗! 도츗! 도츗!,咚啾！咚啾！咚啾！咚啾！
,,,,,,,
Record.Kei-24,京,「お゛っ♥、お゛おっ♥、イグッ♥♥、チンポでイクっ♥♥！」,「お゛っ♥、お゛おっ♥、イグッ♥♥、チンポでイクっ♥♥！」,「喔♥、喔喔♥、高潮♥♥、被雞巴搞到高潮♥♥！」,"""Oh♥ Ohh♥ I'm coming♥♥ Coming from being fucked by a cock♥♥!""","「오옷 옷♥, 오옷 오옷♥, 가버렷♥♥, 자지로 가버렷♥♥!」",「喔♥、喔喔♥、高潮♥♥、被鸡巴搞到高潮♥♥！」
,Record kei １,,,,,,
Record.Kei-25,,「ッ、わかりましたっ♥♥、私は只のオナホでしたッ♥♥、黙って犯されますっ♥♥」,「ッ、わかりましたっ♥♥、私は只のオナホでしたッ♥♥、黙って犯されますっ♥♥」,「唔、我明白了♥♥，我只是個自慰套♥♥，我會默默被幹的♥♥」,"""I understand♥♥ I'm just a toy♥♥ I'll be quiet and take it♥♥""","「윽, 알겠습니다♥♥, 저는 단지 오나홀이었습니다♥♥, 닥치고 박히겠습니다♥♥」",「唔、我明白了♥♥，我只是个自慰套♥♥，我会默默被干的♥♥」
,,,,,,,
Record.Kei-26,,「少しでもおチンポ様の足しになるようにっ♥♥おマンコ締めますのでっ♥♥」,「少しでもおチンポ様の足しになるようにっ♥♥おマンコ締めますのでっ♥♥」,「為了能多少幫上雞巴大人的忙♥♥，我會縮緊小穴的♥♥」,"""I'll tighten up to do my job for you♥♥""",「조금이라도 자지 님께 도움이 되도록♥♥ 보지 조일 테니까요♥♥」,「为了能多少帮上鸡巴大人的忙♥♥我会缩紧小穴的♥♥」
,,,,,,,
Record.Kei-27,,「ケイの雑魚穴存分にお使いくださいっ♥」,「ケイの雑魚穴存分にお使いくださいっ♥」,「請盡情使用京這個雜魚洞吧♥」,"""Please use Kei's weak pussy as much as you want♥""",「케이의 허접 구멍 마음껏 사용해주세요♥」,「请尽情使用京这个杂鱼洞吧♥」
,,,,,,,
Record.Kei-28,,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！ドチュッ！,咚啾！咚啾！咚啾！咚啾！,Squelch! Squelch! Squelch! Squelch!,도츗! 도츗! 도츗! 도츗!,咚啾！咚啾！咚啾！咚啾！
,,,,,,,
Record.Kei-29,怪人,「いい心がけだなっ！そろそろ出してやろう！」,「いい心がけだなっ！そろそろ出してやろう！」,「有這個覺悟不錯！差不多要射給妳了！」,"""Good attitude! I'll finish soon!""",「좋은 마음가짐이군! 슬슬 싸주마!」,「有这个觉悟不错！差不多要射给你了！」
,,,,,,,
Record.Kei-30,京,「お゛っ♥、あ、ありがとうございますっ♥♥♥！」,「お゛っ♥、あ、ありがとうございますっ♥♥♥！」,「喔♥，啊、謝謝您♥♥♥！」,"""Oh♥ T-thank you♥♥♥!""","「오옷 옷♥, 아, 감사합니다♥♥♥!」",「喔♥、啊、谢谢您♥♥♥！」
,,,,,,,
Record.Kei-31,,「不祥オナホっ♥♥、中だし準備万端ですっ♥♥」,「不祥オナホっ♥♥、中だし準備万端ですっ♥♥」,「不肖自慰套♥♥，中出準備完畢了♥♥」,"""This worthless toy♥♥ is ready to receive♥♥""","「불량 오나홀♥♥, 안에 싸기 준비 완료입니다♥♥」",「不肖自慰套♥♥，中出准备完毕了♥♥」
,,,,,,,
Record.Kei-32,,「おチンポ様の性液っ♥♥、オナホに沢山流し込んでくださいっ♥♥」,「おチンポ様の性液っ♥♥、オナホに沢山流し込んでくださいっ♥♥」,「雞巴大人的精液♥♥，請大量灌進自慰套裡吧♥♥」,"""Please pour lots of your jizz into this toy♥♥""","「자지님의 정액♥♥, 오나홀에 잔뜩 흘려 넣어주세요♥♥」",「鸡巴大人的精液♥♥，请大量灌进自慰套里吧♥♥」
,Record Kei 4,,,,,,
Record.Kei-33,,ドクッ！！ビュルルルッルッッ！ビシュッッ！,ドクッ！！ビュルルルッルッッ！ビシュッッ！,咚！！咻嚕嚕嚕嚕嚕！！噗哧！！,Throb!! Spurrrrrt! Splash!,도큣!! 뷰르르르릇르릇!! 비슛!!,咚！！咻噜噜噜噜噜！！噗哧！！
,,,,,,,
Record.Kei-34,京,「お゛っ♥、お゛おっ～～～～ッ♥♥♥！？」,「お゛っ♥、お゛おっ～～～～ッ♥♥♥！？」,「喔♥、喔喔～～～～♥♥♥！？」,"""Oh♥ Ohhh♥♥♥?!""","「오옷 옷♥, 오옷 오옷~~~~♥♥♥!?」",「喔♥、喔喔～～～～♥♥♥！？」
,,,,,,,
Record.Kei-35,,京の子宮内に大量の性液が流れ込み、入りきらなくなった精液が逆流する,京の子宮内に大量の性液が流れ込み、入りきらなくなった精液が逆流する,大量精液流入京的子宮內，裝不下的精液逆流而出。,"A large amount of semen flowed into Kei's womb, and the excess flowed back out.","케이의 자궁 안에 대량의 정액이 흘러 들어가고, 들어가지 못한 정액이 역류한다",大量精液流入京的子宫内，装不下的精液逆流而出。
,,,,,,,
Record.Kei-36,京,「お゛っ♥♥、お゛おっ♥、お゛ッッッッ♥♥！」,「お゛っ♥♥、お゛おっ♥、お゛ッッッッ♥♥！」,「喔♥♥、喔喔♥、喔喔喔喔喔♥♥！」,"""Oh♥♥ Ohh♥ Ohhh♥♥!""","「오옷 옷♥♥, 오옷 오옷♥, 오옷 옷♥♥!」",「喔♥♥、喔喔♥、喔喔喔喔喔♥♥！」
,,,,,,,
Record.Kei-37,,「私の中がっ♥♥、全部精液で満たされてっ♥♥♥」,「私の中がっ♥♥、全部精液で満たされてっ♥♥♥」,「我的裡面♥♥，全被精液填滿了♥♥♥」,"""My insides♥♥ are completely filled♥♥♥""","「내 안이♥♥, 전부 정액으로 채워져서♥♥♥」",「我的里面♥♥，全被精液填满了♥♥♥」
,Record Kei 5,,,,,,
Record.Kei-38,,ドクンッ！ドクッ！,ドクンッ！ドクッ！,噗通！咚！,Throb! Throb!,도쿤! 도큣!,噗通！咚！
,,,,,,,
Record.Kei-39,京,「お゛っ♥、お゛おっ♥……」,「お゛っ♥、お゛おっ♥……」,「喔♥、喔喔♥……」,"""Oh♥ Ohh♥...""","「오옷 옷♥, 오옷 오옷♥……」",「喔♥、喔喔♥……」
,,,,,,,
Record.Kei-40,怪人,「ふう、まあオナホとしては及第点だろう」,「ふう、まあオナホとしては及第点だろう」,「呼，作為自慰套來說算是及格吧。」,"""Phew, well, as a toy you get a passing grade.""","「후우, 뭐 오나홀로서는 합격점이겠지」",「呼，作为自慰套来说算是及格吧。」
,,,,,,,
Record.Kei-41,京,「はひっ♥♥、射精していただきありがとうございまひたっ♥♥♥」,「はひっ♥♥、射精していただきありがとうございまひたっ♥♥♥」,「哈伊♥♥，非常感謝您射精♥♥♥」,"""Hahi♥♥ Thank you for finishing♥♥♥""","「하힛♥♥, 사정해주셔서 감사합니다앗♥♥♥」",「哈伊♥♥，非常感谢您射精♥♥♥」
,,,,,,,
Record.Kei-42,怪人,「まあ噂以上ではなかったがな…また使ってやる」,「まあ噂以上ではなかったがな…また使ってやる」,「雖然沒有傳言中的厲害…我還會再用妳的。」,"""Well, you weren't better than the rumors... I'll use you again.""",「뭐 소문 이상은 아니었지만… 또 써주지」,「虽然没有传言中的厉害…我还会再用你的。」
,,,,,,,
Record.Kei-43,京,「お゛っ♥、どうせならっ♥♥、今もう一回使ってくださいっ♥♥」,「お゛っ♥、どうせならっ♥♥、今もう一回使ってくださいっ♥♥」,「喔♥，不如說♥♥，現在再用一次吧♥♥」,"""Oh♥ If that's the case♥♥ Please use me one more time now♥♥""","「오옷 옷♥, 기왕이면♥♥, 지금 한 번 더 써주세요♥♥」",「喔♥，不如说♥♥，现在再用一次吧♥♥」
,,,,,,,
Record.Kei-44,京,「オナホはハメられるのが仕事なのでっ♥♥」,「オナホはハメられるのが仕事なのでっ♥♥」,「自慰套的工作就是被插呀♥♥」,"""A toy's job is to be used♥♥""",「오나홀은 박히는 게 일이므로♥♥」,「自慰套的工作就是被插呀♥♥」
,,,,,,,
Record.Kei-45,,「……それに……次はもっとうまくやりますから…♥」,「……それに……次はもっとうまくやりますから…♥」,「……而且……下次我會做得更好一點的…♥」,"""...Besides... I'll do better next time...♥""",「……그리고…… 다음엔 더 잘할 테니까…♥」,「……而且……下次我会做得更好一点的…♥」
,,,,,,,
,,,,,,,
,,,,,,,
Record Clone ,注釈,クローン達　(実装：Chapter3ｰ3クリア後),クローン達　(実装：Chapter3ｰ3クリア後),,,클론들 (실장: Chapter3ｰ3 클리어 후),
Record.CloneTask,,【クローンの通常業務】,【クローンの通常業務】,【克隆人的日常業務】,[A Clone's Regular Duties],【클론의 통상 업무】,【克隆人的日常业务】
,,,,,,,
Record.CloneTask-1,,水無瀬六花がクローンの一員になった日からしばらくして――――,水無瀬六花がクローンの一員になった日からしばらくして――――,水無瀬六花成為克隆人一員後過了一段時間――――,Some time after Rikka Minase became a member of the clones...,미나세 릿카가 클론의 일원이 된 지 얼마 지나지 않아――――,水无瀬六花成为克隆人一员后过了一段时间――――
,Record clone 1,,,,,,
Record.CloneTask-2,,072号含む新規ロットのクローン達は穴の開いた壁の前に立たされていた,072号含む新規ロットのクローン達は穴の開いた壁の前に立たされていた,包括072號在內的新一批克隆人們被帶到了一面開了洞的牆壁前。,072 and the other new lot clones were made to stand in front of a wall with holes.,072호를 포함한 신규 로트 클론들은 구멍 뚫린 벽 앞에 서 있었다,包括072号在内的新一批克隆人们被带到了一面开了洞的墙壁前。
,,,,,,,
Record.CloneTask-3,072号,「…………これは？」,「…………これは？」,「…………這是？」,"""......What is this?""",「…………이것은?」,「…………这是？」
,,,,,,,
Record.CloneTask-4,クローン,「072号、静かに。これよりクローン戦闘員性奉仕業務を開始します」,「072号、静かに。これよりクローン戦闘員性奉仕業務を開始します」,「072號，安靜。接下來將開始克隆人戰鬥員性服務業務。」,"""072, be quiet. We will now begin clone soldier service duties.""","「072호, 조용히. 지금부터 클론 전투원 성봉사 업무를 개시합니다」",「072号，安静。接下来将开始克隆人战斗员性服务业务。」
,,,,,,,
